date,temp_max,temp_min,temp_avg,precipitation,snow_depth
2/1/21,67,41,54,0,0
2/2/21,69,40,54.5,0,0
2/3/21,77,45,61,0,0
2/4/21,85,55,70,0,0
2/5/21,61,44,52.5,0.06,0
2/6/21,75,48,61.5,0,0
2/7/21,70,40,55,0,0
2/8/21,76,51,63.5,0,0
2/9/21,64,46,55,0,0
2/10/21,46,37,41.5,0.04,0
2/11/21,37,31,34,0.45,0
2/12/21,33,29,31,0,0
2/13/21,31,26,28.5,0,0
2/14/21,30,13,21.5,0.2,0
2/15/21,25,8,16.5,0.52,6
2/16/21,26,7,16.5,0.02,5
2/17/21,32,24,28,0.54,4
2/18/21,33,24,28.5,0.01,4
2/19/21,43,21,32,0,2
2/20/21,62,26,44,0,2
2/21/21,76,44,60,0,0
2/22/21,76,42,59,0,0
2/23/21,79,47,63,0,0
2/24/21,86,64,75,0,0
2/25/21,66,51,58.5,0.04,0
2/26/21,60,47,53.5,0.02,0
2/27/21,79,58,68.5,0.01,0
2/28/21,74,58,66,0,0
3/1/21,58,48,53,0.14,0
3/2/21,67,45,56,0,0
3/3/21,73,38,55.5,0,0
3/4/21,77,45,61,0,0
3/5/21,80,57,68.5,0,0
3/6/21,69,49,59,0,0
3/7/21,71,41,56,0,0
3/8/21,74,45,59.5,0,0
3/9/21,77,57,67,0,0
3/10/21,83,64,73.5,0,0
3/11/21,82,69,75.5,0,0
3/12/21,81,69,75,0,0
3/13/21,77,68,72.5,0.13,0
3/14/21,78,53,65.5,0.01,0
3/15/21,87,47,67,0,0
3/16/21,83,67,75,0,0
3/17/21,77,54,65.5,0.01,0
3/18/21,73,47,60,0,0
3/19/21,71,46,58.5,0,0
3/20/21,73,43,58,0,0
3/21/21,76,50,63,0,0
3/22/21,73,57,65,0.27,0
3/23/21,82,54,68,0.04,0
3/24/21,72,54,63,0,0
3/25/21,75,55,65,0.49,0
3/26/21,84,48,66,0,0
3/27/21,87,66,76.5,0,0
3/28/21,76,54,65,0,0
3/29/21,78,45,61.5,0,0
3/30/21,80,60,70,0,0
3/31/21,73,56,64.5,0.02,0
4/1/21,72,43,57.5,0,0
4/2/21,73,44,58.5,0,0
4/3/21,66,52,59,0.35,0
4/4/21,75,56,65.5,0,0
4/5/21,83,59,71,0,0
4/6/21,87,67,77,0,0
4/7/21,89,62,75.5,0,0
4/8/21,92,53,72.5,0,0
4/9/21,92,69,80.5,0,0
4/10/21,82,59,70.5,0,0
4/11/21,90,48,69,0,0
4/12/21,90,66,78,0,0
4/13/21,84,71,77.5,0,0
4/14/21,84,70,77,0,0
4/15/21,73,61,67,0.07,0
4/16/21,69,60,64.5,0.04,0
4/17/21,66,53,59.5,0,0
4/18/21,70,51,60.5,0,0
4/19/21,77,49,63,0,0
4/20/21,85,51,68,0,0
4/21/21,68,44,56,0,0
4/22/21,67,52,59.5,0.01,0
4/23/21,72,62,67,0.83,0
4/24/21,84,61,72.5,0,0
4/25/21,89,56,72.5,0,0
4/26/21,87,68,77.5,0,0
4/27/21,80,69,74.5,0,0
4/28/21,85,74,79.5,0.05,0
4/29/21,75,68,71.5,0.71,0
4/30/21,75,66,70.5,1.37,0
5/1/21,76,65,70.5,1.44,0
5/2/21,89,61,75,0,0
5/3/21,94,73,83.5,0,0
5/4/21,84,67,75.5,0,0
5/5/21,82,58,70,0,0
5/6/21,89,58,73.5,0,0
5/7/21,87,60,73.5,0,0
5/8/21,91,68,79.5,0,0
5/9/21,90,74,82,0.01,0
5/10/21,80,63,71.5,0,0
5/11/21,76,62,69,0.26,0
5/12/21,75,60,67.5,0,0
5/13/21,75,60,67.5,0,0
5/14/21,85,58,71.5,0,0
5/15/21,80,67,73.5,0,0
5/16/21,82,70,76,1.09,0
5/17/21,82,66,74,0.39,0
5/18/21,79,66,72.5,0.53,0
5/19/21,73,64,68.5,0,0
5/20/21,86,63,74.5,0,0
5/21/21,87,69,78,0,0
5/22/21,81,72,76.5,0.65,0
5/23/21,74,70,72,0.17,0
5/24/21,88,70,79,0.12,0
5/25/21,91,72,81.5,0.01,0
5/26/21,91,68,79.5,0.12,0
5/27/21,90,75,82.5,0,0
5/28/21,88,66,77,1.33,0
5/29/21,88,66,77,0,0
5/30/21,88,69,78.5,0.48,0
5/31/21,86,69,77.5,0.63,0
6/1/21,87,68,77.5,0.6,0
6/2/21,89,64,76.5,0.84,0
6/3/21,73,64,68.5,0.96,0
6/4/21,85,68,76.5,0.17,0
6/5/21,83,69,76,0.04,0
6/6/21,91,69,80,0,0
6/7/21,91,78,84.5,0,0
6/8/21,93,78,85.5,0.04,0
6/9/21,95,77,86,0,0
6/10/21,94,77,85.5,0,0
6/11/21,93,78,85.5,0,0
6/12/21,95,76,85.5,0,0
6/13/21,99,75,87,0,0
6/14/21,100,76,88,0,0
6/15/21,99,75,87,0,0
6/16/21,97,73,85,0,0
6/17/21,97,74,85.5,0,0
6/18/21,94,76,85,0,0
6/19/21,96,70,83,0,0
6/20/21,95,76,85.5,0,0
6/21/21,96,81,88.5,0,0
6/22/21,89,73,81,0.01,0
6/23/21,98,79,88.5,0.01,0
6/24/21,98,78,88,0,0
6/25/21,97,78,87.5,0,0
6/26/21,98,78,88,0,0
6/27/21,92,76,84,0.12,0
6/28/21,91,74,82.5,0,0
6/29/21,88,74,81,0.78,0
6/30/21,93,75,84,0.02,0
